pincode,place,state,district,lat,lng
721517,Ragra,West Bengal,West Midnapore,22.2721,86.9541
721601,Bhagwanpur (East Midnapore),West Bengal,East Midnapore,22.0208,87.7744
721602,Basudevpur,West Bengal,East Midnapore,22.0758,88.1375
721603,Deulpota,West Bengal,East Midnapore,22.08005,87.9056
721604,Haldia,West Bengal,East Midnapore,22.0605,88.1097
721606,Haldia O.R,West Bengal,East Midnapore,22.0208,87.7744
721607,Haldia Port,West Bengal,East Midnapore,22.0208,87.7744
721624,Etamogra,West Bengal,East Midnapore,22.0208,87.7744
721625,Hanubhunia,West Bengal,East Midnapore,22.0208,87.7744
721626,Kajlagarh,West Bengal,East Midnapore,22.198,87.9301
721627,Nilkunthia,West Bengal,East Midnapore,22.0208,87.7744
721628,Kanchanpur,West Bengal,East Midnapore,22.0208,87.7744
721629,Moyna,West Bengal,East Midnapore,22.0208,87.7744
721631,Amgachia,West Bengal,East Midnapore,22.0208,87.7744
721632,Nandakumar,West Bengal,East Midnapore,22.0208,87.7744
721633,Brindabanpur,West Bengal,East Midnapore,22.0208,87.7744
721634,Raghunathbari,West Bengal,East Midnapore,22.3623,87.7811
721635,Purbasrikrishnapur,West Bengal,East Midnapore,22.1138,88.112
721636,Padumbasan,West Bengal,East Midnapore,22.0208,87.7744
721637,Biswas,West Bengal,East Midnapore,22.0208,87.7744
721641,Sahapur,West Bengal,West Midnapore,22.4143,87.267
721642,Gobradan,West Bengal,East Midnapore,22.0208,87.7744
721643,Dhanyaghar,West Bengal,East Midnapore,22.0208,87.7744
721644,Ramchakmoyna,West Bengal,East Midnapore,22.0208,87.7744
721645,Raghurampur,West Bengal,East Midnapore,22.0838,88.0403
721646,Kalicharanpur,West Bengal,East Midnapore,22.0208,87.7744
721647,Purbachilka,West Bengal,East Midnapore,22.0208,87.7744
721648,Mirpur,West Bengal,East Midnapore,22.0208,87.7744
721649,Bainchberia,West Bengal,East Midnapore,22.0208,87.7744
721650,Debipur,West Bengal,East Midnapore,22.0208,87.7744
721651,Putputia,West Bengal,East Midnapore,22.0208,87.7744
721652,Motilalchak,West Bengal,East Midnapore,22.1454,87.9751
721653,Chanserpur,West Bengal,East Midnapore,22.0208,87.7744
721654,Hadia,West Bengal,East Midnapore,22.1303,88.0483
721655,Kismatbajkul,West Bengal,East Midnapore,22.0208,87.7744
721656,Asadtala,West Bengal,East Midnapore,22.0208,87.7744
721657,Barghasipur,West Bengal,East Midnapore,22.0208,87.7744
721658,Baroda,West Bengal,East Midnapore,22.187,88.1068
